date,confirmed,recovered,deaths,existing
25/01/2020,4,0,0,4
27/01/2020,5,0,0,5
29/01/2020,7,0,0,7
30/01/2020,9,0,0,9
1/02/2020,10,0,
2/02/2020,12,0,
8/02/2020,15,5,0,10
12/02/2020,15,5,0,10
13/02/2020,15,6,0,9
16/02/2020,15,8,0,7
17/02/2020,15,8,0,7
18/02/2020,15,8,0,7
19/02/2020,15,10,0,5
20/02/2020,17,10,0,7
21/02/2020,21,10,0,11
22/02/2020,22,10,0,10
23/02/2020,22,10,0,12
24/02/2020,22,15,0,7
25/02/2020,23,15,0,8
26/02/2020,23,15,0,8
27/02/2020,23,15,0,8
28/02/2020,25,15,0,10
29/02/2020,26,15,0,11
1/03/2020,29,15,1,14
2/03/2020,33,21,1,11
3/03/2020,41,21,1,19
4/03/2020,52,21,2,29
5/03/2020,60,21,2,37
6/03/2020,63,22,2,39
7/03/2020,73,22,2,49
8/03/2020,80,22,3,55
9/03/2020,92,22,3,67
10/03/2020,112,24,3,85
11/03/2020,127,24,3,100
12/03/2020,156,24,3,129
13/03/2020,198,27,3,168
14/03/2020,248,27,3,218
15/03/2020,298,27,5,266
16/03/2020,376,27,5,344
17/03/2020,453,27,5,421
18/03/2020,566,43,6,517
19/03/2020,708,46,6,656
20/03/2020,875,46,7,822
21/03/2020,1071,46,7,1018
22/03/2020,1352,46,7,1299
23/03/2020,1716,92,7,1617
24/03/2020,2146,135,8,2003
25/03/2020,2431,155,9,2267
26/03/2020,2675,155,11,2509
