date,nsw,qld,vic,sa,wa,tas,act,nt,total,new_cases,deaths
25/01/2020,3,0,1,0,0,0,0,0,4,4,0
1/02/2020,4,2,4,0,0,0,0,0,10,0,0
8/02/2020,4,5,4,0,0,0,0,0,13,0,0
15/02/2020,4,5,4,0,0,0,0,0,13,0,0
22/02/2020,4,7,4,0,1,0,0,0,16,0,0
29/02/2020,5,9,4,3,2,0,0,0,23,0,0
1/03/2020,6,9,9,3,2,0,0,0,29,6,1
2/03/2020,9,9,9,3,2,1,0,0,33,4,1
3/03/2020,15,10,10,3,2,1,0,0,41,8,1
4/03/2020,22,11,10,5,2,1,0,1,52,11,2
5/03/2020,25,13,10,7,3,1,0,1,60,8,2
6/03/2020,28,14,10,7,3,1,0,0,63,3,2
7/03/2020,36,14,11,7,3,2,0,0,73,10,2
8/03/2020,40,15,12,7,4,2,0,0,80,7,3
9/03/2020,47,15,15,7,6,2,0,0,92,12,3
10/03/2020,60,18,19,7,6,2,0,0,112,20,3
11/03/2020,64,20,22,9,9,3,0,0,127,15,3
12/03/2020,77,27,27,12,9,3,1,0,156,29,3
13/03/2020,91,35,36,16,14,5,1,0,198,42,3
14/03/2020,111,46,49,19,17,5,1,0,248,50,3
15/03/2020,133,62,57,20,18,7,1,0,298,50,5
16/03/2020,170,68,71,30,28,7,2,0,376,78,5
17/03/2020,209,78,94,32,31,7,2,0,453,77,5
18/03/2020,266,94,121,37,35,10,3,0,566,113,6
19/03/2020,306,144,150,42,52,10,4,0,708,142,6
20/03/2020,381,184,178,50,64,10,6,2,875,167,7
21/03/2020,435,221,229,67,90,16,9,4,1,071,196,7
22/03/2020,532,259,296,100,120,22,19,6,1,354,283,7
23/03/2020,704,319,355,134,140,28,32,6,1,718,364,7
24/03/2020,913,397,411,170,175,36,39,6,2,147,430,8
25/03/2020,1029,443,466,197,205,42,44,6,2,432,285,9
26/03/2020,1219,493,520,235,231,47,53,13,2,811,379,13
27/03/2020,1405,555,574,257,255,58,62,14,3,180,369,13
28/03/2020,1617,625,685,287,278,62,71,15,3,640,460,14
29/03/2020,1791,656,769,299,312,66,77,15,3,985,345,16
30/03/2020,1918,689,821,305,355,69,78,15,4,250,265,18
31/03/2020,2032,743,917,337,364,69,80,19,4,561,311,19
1/04/2020,2182,781,968,367,392,71,84,19,4,864,303,21
2/04/2020,2298,835,1036,,,72,87,21,5,108,244,24
