date,icu,vent,overseas,local_contact,unknown,under_invest
12/03/2020,,,34,32,2,10
14/03/2020,,,51,32,11,18
15/03/2020,,,60,38,13,23
18/03/2020,,,114,63,26,64
19/03/2020,5,,129,59,46,73
20/03/2020,6,,158,69,52,74
21/03/2020,,,218,92,52,74
22/03/2020,,,251,131,46,105
23/03/2020,,,327,155,65,122
24/03/2020,12,8,425,174,72,147
25/03/2020,10,4,500,176,74,279
26/03/2020,16,10,647,221,88,263
27/03/2020,19,9,877,278,145,105
28/03/2020,22,11,1004,316,170,127
30/03/2020,26,13,1185,376,228,129
31/03/2020,35,16,1293,418,250,71
01/04/2020,42,22,1353,434,275,120
02/04/2020,43,20,1419,467,307,105
